"vremia","U64_1GS","U64_2GS","D21","D22","D23","D24","D25","D26","speed_DS","T_mot_DS","Obgat_DS","I_nv_pr_DS","I_nv_lev_DS","Pos_NV_pr_DS","Pos_NV_lev_DS"
"2020-06-22 00:00:02.046","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:03.031","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:04.078","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:05.062","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:06.062","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:07.078","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:08.078","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:09.062","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:10.046","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:11.046","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:12.015","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:13.031","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:14.062","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:15.031","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:16.015","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:17.031","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:17.984","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:18.968","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:19.937","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:20.921","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
