"vremia","191HL","192HL","193BL","194BL","191HR","192HR","193BR","194BR","281NL","282NL","283BL","284BL","281NR","282NR","283BR","284BR","301BL","302BL","303HL","304HL","301BR","302BR","303HR","304HR","321BL","322BL","323HL","324HL","321BR","322BR","323HR","324HR","341BL","342BL","343HL","344HL","341BR","342BR","343HR","344HR","461L","462L","463L","461R","462R","463R","G11L","G12L","G13L","G14L","G15L","G16L","G17L","G11R","G12R","G13R","G14R","G15R","G16R","G17R","G21L","G22L","G23L","G24L","G25L","G26L","G27L","G21R","G22R","G23R","G24R","G25R","G26R","G27R","D12","D13","D14","D15","D16","D17","D18","D19","D20","U64","RasxCD"
"2020-06-30 00:00:01.437","27","28","29","29","28","28","29","30","30","34","33","31","30","33","34","30","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","38","43","38","36","34","41","36","43","50","35","42","34","42","39","42","43","35","36","37","31","43","49","50","43","44","38","37","37","51","44","36","40","5.2","5.1","4.4","4.4","4.2","3.6","2.9","3","2.7","1180","1590"
"2020-06-30 00:00:02.468","27","28","29","29","28","28","29","30","30","34","32","31","30","33","34","30","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","38","43","38","36","34","41","36","43","50","35","42","34","42","39","42","43","35","36","37","32","43","49","50","43","44","38","37","37","51","44","36","40","5.2","5","4.4","4.4","4.2","3.6","2.9","3","2.7","1180","1800"
"2020-06-30 00:00:03.531","27","28","29","29","28","28","29","30","30","34","32","31","30","33","34","30","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","38","43","38","36","34","41","36","43","50","34","42","34","42","39","42","43","35","36","37","31","43","49","50","44","44","38","37","37","51","44","36","40","5.2","5.1","4.4","4.4","4.2","3.6","2.9","3","2.7","1180","1510"
"2020-06-30 00:00:04.625","27","28","29","29","28","28","29","30","30","34","32","31","30","33","34","30","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","38","43","38","36","34","41","36","43","50","35","42","34","42","39","42","43","35","36","37","32","43","49","50","43","44","38","37","37","51","44","36","40","5.2","5.1","4.4","4.4","4.2","3.6","2.9","3","2.7","1180","1610"
"2020-06-30 00:00:05.687","27","28","29","29","28","28","29","30","30","34","32","30","30","32","34","30","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","38","43","38","36","34","42","36","43","50","34","42","34","42","39","42","43","35","36","37","31","43","49","50","43","44","38","37","37","51","44","36","40","5.2","5.1","4.4","4.4","4.2","3.6","2.9","3","2.7","1180","1660"
"2020-06-30 00:00:06.703","27","28","29","29","28","28","29","30","30","34","32","31","30","33","34","30","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","38","43","38","36","34","41","36","43","50","35","42","34","42","39","42","43","35","36","37","31","43","49","50","44","44","38","37","37","51","44","36","40","5.2","5","4.4","4.4","4.2","3.6","2.9","3","2.7","1180","1710"
"2020-06-30 00:00:07.703","27","28","29","29","28","28","29","30","30","34","33","31","30","33","34","30","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","38","43","38","36","34","41","36","43","50","35","42","34","42","39","42","43","35","36","37","31","43","49","50","43","44","38","37","37","51","44","36","40","5.2","5","4.4","4.4","4.2","3.6","2.9","3","2.7","1180","1690"
"2020-06-30 00:00:08.718","27","28","29","29","28","28","29","30","30","34","32","31","30","32","34","30","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","38","43","38","36","34","41","36","43","50","34","42","34","42","39","42","43","35","36","37","32","43","49","50","43","44","38","37","37","51","44","36","40","5.2","5","4.4","4.4","4.2","3.6","2.9","3","2.7","1180","1700"
"2020-06-30 00:00:09.734","27","28","29","29","28","28","29","30","30","34","32","31","30","32","34","30","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","38","43","38","36","34","41","36","43","50","35","42","34","42","39","42","43","35","36","37","31","43","49","50","43","44","38","37","37","51","44","36","40","5.2","5","4.4","4.4","4.2","3.6","2.9","3","2.7","1180","1700"
"2020-06-30 00:00:10.750","27","28","29","29","28","28","29","30","30","34","32","30","30","32","34","30","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","38","43","38","36","34","41","36","43","50","34","42","34","42","39","42","43","35","36","37","31","43","49","50","43","44","38","37","37","51","44","36","40","5.2","5","4.4","4.4","4.2","3.6","2.9","3","2.7","1180","1800"
"2020-06-30 00:00:11.765","27","28","29","29","28","28","29","30","30","34","32","30","30","32","34","30","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","38","43","38","36","34","41","36","43","50","34","42","34","42","39","42","43","35","36","37","32","43","49","50","43","44","38","37","37","51","44","36","40","5.2","5","4.4","4.4","4.2","3.6","2.9","3","2.7","1170","1730"
"2020-06-30 00:00:12.781","27","28","29","29","28","28","29","30","30","34","32","31","30","32","34","29","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","38","43","38","36","34","41","36","43","50","35","42","34","42","39","42","43","35","36","37","31","43","49","50","43","44","38","37","37","51","44","36","40","5.2","5","4.4","4.4","4.2","3.6","2.9","3","2.7","1170","1610"
"2020-06-30 00:00:13.796","27","28","29","29","28","28","29","30","30","34","32","30","30","32","34","30","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","38","43","38","36","34","41","36","43","50","35","42","34","42","39","42","43","35","36","37","32","43","49","50","43","44","38","37","37","51","44","36","40","5.2","5","4.4","4.4","4.2","3.6","2.9","3","2.7","1170","1770"
"2020-06-30 00:00:14.828","27","28","29","29","28","28","29","30","30","34","33","31","30","33","34","30","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","38","43","38","36","34","41","36","43","50","35","42","34","42","39","42","43","35","36","37","32","43","49","50","43","44","38","37","37","51","44","36","40","5.2","5","4.4","4.4","4.2","3.6","2.9","3","2.7","1170","1620"
"2020-06-30 00:00:15.843","27","28","29","29","28","28","29","30","30","34","32","30","30","32","34","29","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","38","43","38","36","34","41","36","43","50","34","42","34","42","39","42","43","35","36","37","32","43","49","50","43","44","38","37","37","51","44","36","40","5.2","5","4.4","4.4","4.2","3.6","2.9","3","2.7","1170","1790"
"2020-06-30 00:00:16.906","27","28","29","29","28","28","29","30","30","34","33","31","30","33","34","30","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","38","43","38","36","34","41","36","43","50","35","42","34","42","39","42","43","35","36","37","32","43","49","50","43","44","38","37","37","51","44","36","40","5.2","5","4.4","4.4","4.2","3.6","2.9","3","2.7","1170","1740"
"2020-06-30 00:00:17.921","27","28","29","29","28","28","29","30","30","34","32","31","30","33","34","30","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","38","43","38","36","34","41","36","43","49","34","42","34","42","39","42","43","35","36","37","31","43","49","50","44","44","38","37","37","51","44","36","40","5.2","5","4.4","4.4","4.2","3.6","2.9","3","2.7","1170","1640"
"2020-06-30 00:00:18.937","27","28","29","29","28","28","29","30","30","34","32","31","30","33","34","30","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","38","43","38","36","34","41","36","43","50","35","42","34","42","39","42","43","35","36","37","31","43","49","50","43","44","38","37","37","51","44","36","40","5.2","5","4.4","4.4","4.2","3.6","2.9","3","2.7","1170","1690"
